Major,Total,Men,Women,ShareWomen,Unemployment_rate,Median,P25th,P75th
MISCELLANEOUS FINE ARTS,3340,1970,1370,0.410179641,0.089375,50000,25000,66000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,720,488,232,0.322222222,0.075038285,50000,42800,57000
NURSING,209394,21773,187621,0.896018988,0.044862724,48000,39000,58000
FINANCE,174506,115030,59476,0.340824957,0.060686356,47000,35000,64000
ECONOMICS,139247,89749,49498,0.355469059,0.099092317,47000,35000,65000
BUSINESS ECONOMICS,13302,7575,5727,0.430536761,0.096448381,46000,33000,58000
INDUSTRIAL PRODUCTION TECHNOLOGIES,4631,3477,1154,0.24919024,0.028308097,46000,35000,65000
NUCLEAR INDUSTRIAL RADIOLOGY AND BIOLOGICAL TECHNOLOGIES,2116,528,1588,0.75047259,0.07154047,46000,38000,53000
ACCOUNTING,198633,94519,104114,0.524152583,0.069749014,45000,34000,56000
MATHEMATICS,72397,39956,32441,0.448098678,0.047277138,45000,33000,60000
COMPUTER AND INFORMATION SYSTEMS,36698,27392,9306,0.253583302,0.093460326,45000,30000,60000
PHYSICS,32142,23080,9062,0.281936407,0.048224496,45000,30000,68000
MEDICAL TECHNOLOGIES TECHNICIANS,15914,3916,11998,0.75392736,0.03698279,45000,36000,50000
INFORMATION SCIENCES,11913,9005,2908,0.244103081,0.060741445,45000,32500,58000
STATISTICS AND DECISION SCIENCE,6251,2960,3291,0.526475764,0.086273666,45000,26700,60000
APPLIED MATHEMATICS,4939,2794,2145,0.434298441,0.090823307,45000,34000,63000
PHARMACOLOGY,1762,515,1247,0.707718502,0.085531575,45000,40000,45000
OCEANOGRAPHY,2418,752,1666,0.688999173,0.056994819,44700,23000,50000
ENGINEERING AND INDUSTRIAL MANAGEMENT,2906,2400,506,0.174122505,0.03365166,44000,30000,50000
MEDICAL ASSISTING SERVICES,11123,803,10320,0.927807246,0.042506527,42000,30000,65000
MATHEMATICS AND COMPUTER SCIENCE,609,500,109,0.178981938,0,42000,30000,78000
COMPUTER PROGRAMMING AND DATA PROCESSING,4168,3046,1122,0.269193858,0.11398259,41300,20000,46000
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,3831,1667,2164,0.56486557,0.075236167,41000,20000,60000
SCHOOL STUDENT COUNSELING,818,119,699,0.854523227,0.107579462,41000,41000,43000
INTERNATIONAL RELATIONS,28187,10345,17842,0.632986838,0.096798943,40100,31200,53000
GENERAL BUSINESS,234590,132238,102352,0.436301633,0.072861468,40000,30000,55000
ARCHITECTURE,46420,25463,20957,0.451464886,0.113331949,40000,31000,50000
INTERNATIONAL BUSINESS,25894,10624,15270,0.589711902,0.096175064,40000,30000,50000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,23551,8697,14854,0.630716318,0.055520827,40000,20000,90000
MOLECULAR BIOLOGY,18300,7426,10874,0.59420765,0.084361164,40000,29000,47000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,17947,10285,7662,0.42692372,0.071982974,40000,30000,51000
AGRICULTURE PRODUCTION AND MANAGEMENT,14240,9658,4582,0.321769663,0.050030836,40000,25000,50000
GENERAL AGRICULTURE,10399,6053,4346,0.4179248,0.019642463,40000,30000,50000
MISCELLANEOUS ENGINEERING TECHNOLOGIES,8804,7043,1761,0.200022717,0.05253852,40000,30400,56000
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,4790,4419,371,0.077453027,0.056357078,40000,27000,52000
GENETICS,3635,1761,1874,0.515543329,0.034117647,40000,34000,45000
MISCELLANEOUS SOCIAL SCIENCES,3283,1499,1784,0.543405422,0.073079538,40000,30000,54000
UNITED STATES HISTORY,3079,1756,1323,0.429684963,0.047179487,40000,30000,42000
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,3014,1075,1939,0.643331121,0.108786611,40000,32000,53000
AGRICULTURAL ECONOMICS,2439,1749,690,0.282902829,0.077249576,40000,27000,54000
PHYSICAL SCIENCES,1436,894,542,0.377437326,0.035353535,40000,30000,55000
MILITARY TECHNOLOGIES,124,124,0,0,0,40000,40000,40000
CHEMISTRY,66530,32923,33607,0.505140538,0.0539724,39000,30000,49900
ELECTRICAL MECHANICAL AND PRECISION TECHNOLOGIES AND PRODUCTION,2435,1869,566,0.232443532,0.029479503,38400,22500,45000
BUSINESS MANAGEMENT AND ADMINISTRATION,329927,173809,156118,0.473189524,0.072218341,38000,29000,50000
MARKETING AND MARKETING RESEARCH,205211,78857,126354,0.615727227,0.061215064,38000,30000,50000
POLITICAL SCIENCE AND GOVERNMENT,182621,93880,88741,0.485929877,0.101174601,38000,28000,50000
GEOGRAPHY,18480,11404,7076,0.382900433,0.113458628,38000,30000,50000
MICROBIOLOGY,15232,6383,8849,0.580948004,0.066775872,38000,29600,50000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,8066,6607,1459,0.180882718,0.099723375,37500,25000,50000
BIOCHEMICAL SCIENCES,39107,18951,20156,0.515406449,0.080531385,37400,29000,50000
BOTANY,1329,626,703,0.52896915,0,37000,26000,40000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,7613,5291,2322,0.305004597,0.151849807,36400,27000,49000
GEOLOGY AND EARTH SCIENCE,10972,5813,5159,0.470196865,0.075448568,36200,28000,47000
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,24497,6184,18313,0.747560926,0.059569649,36000,28000,45000
PRE-LAW AND LEGAL STUDIES,13528,4435,9093,0.672161443,0.071965016,36000,29200,46000
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,13386,1589,11797,0.881293889,0.08141125,36000,23000,42000
PUBLIC ADMINISTRATION,5629,2947,2682,0.476461183,0.1594906,36000,23000,60000
GEOSCIENCES,1978,809,1169,0.591001011,0.024373731,36000,21000,41000
SOCIAL PSYCHOLOGY,1386,413,973,0.702020202,0.029649596,36000,34000,45000
ENVIRONMENTAL SCIENCE,25965,10787,15178,0.584556133,0.078584681,35600,25000,40200
COMMUNICATIONS,213996,70619,143377,0.669998505,0.075176976,35000,27000,45000
CRIMINAL JUSTICE AND FIRE PROTECTION,152824,80231,72593,0.47501047,0.082452199,35000,26000,45000
COMMERCIAL ART AND GRAPHIC DESIGN,103480,32041,71439,0.690365288,0.096797577,35000,25000,45000
JOURNALISM,72619,23736,48883,0.673143392,0.069176442,35000,26000,42900
MULTI-DISCIPLINARY OR GENERAL SCIENCE,62052,27015,35037,0.564639335,0.055806815,35000,24000,50000
ADVERTISING AND PUBLIC RELATIONS,53162,12862,40300,0.758060269,0.067960766,35000,27000,47000
AREA ETHNIC AND CIVILIZATION STUDIES,31195,8739,22456,0.719858952,0.063429289,35000,24500,44000
SPECIAL NEEDS EDUCATION,28739,2682,26057,0.906677337,0.041507819,35000,32000,42000
PHYSIOLOGY,22060,8422,13638,0.618223028,0.0691628,35000,20000,50000
CRIMINOLOGY,19879,10031,9848,0.495397153,0.097243919,35000,25000,45000
NUTRITION SCIENCES,18909,2563,16346,0.864456079,0.068700676,35000,26000,45000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,18109,4266,13843,0.764426528,0.089626262,35000,27000,42000
COMMUNICATION TECHNOLOGIES,18035,11431,6604,0.366176878,0.119511469,35000,25000,45000
TRANSPORTATION SCIENCES AND TECHNOLOGIES,15150,13257,1893,0.124950495,0.072724524,35000,22000,52000
NATURAL RESOURCES MANAGEMENT,13773,8617,5156,0.374355623,0.066619195,35000,25000,42000
NEUROSCIENCE,13663,4944,8719,0.63814682,0.048481675,35000,30000,44000
MULTI/INTERDISCIPLINARY STUDIES,12296,2817,9479,0.770901106,0.070860927,35000,25000,44000
ATMOSPHERIC SCIENCES AND METEOROLOGY,4043,2744,1299,0.321296067,0.022228555,35000,28000,50000
FORESTRY,3607,3156,451,0.125034655,0.096725743,35000,28600,48000
SOIL SCIENCE,685,476,209,0.305109489,0,35000,18500,44000
GENERAL EDUCATION,143718,26893,116825,0.812876606,0.057359929,34000,26000,41000
HISTORY,141951,78253,63698,0.448732309,0.095666912,34000,25000,47000
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,48246,12835,35411,0.733967583,0.075566386,34000,25000,45000
INTERCULTURAL AND INTERNATIONAL STUDIES,24650,8575,16075,0.652129817,0.083633531,34000,24000,45000
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,20198,9950,10248,0.507376968,0.054082941,34000,23050,42000
COMMUNITY AND PUBLIC HEALTH,19735,4103,15632,0.792095262,0.112144387,34000,21000,45000
MATHEMATICS TEACHER EDUCATION,14237,3872,10365,0.728032591,0.016202835,34000,30000,40000
EDUCATIONAL ADMINISTRATION AND SUPERVISION,804,280,524,0.651741294,0,34000,29000,35000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,12740,5521,7219,0.566640502,0.069779712,33500,23000,40000
MISCELLANEOUS BIOLOGY,10706,4747,5959,0.556603774,0.058545455,33500,23000,48000
BIOLOGY,280709,111762,168947,0.601858152,0.070724732,33400,24000,45000
SOCIOLOGY,115433,32510,82923,0.718364766,0.084951001,33000,25000,44000
MASS MEDIA,52824,24704,28120,0.532333788,0.089836827,33000,25000,45000
TREATMENT THERAPY PROFESSIONS,48491,13487,35004,0.721865913,0.059821207,33000,24000,41000
HOSPITALITY MANAGEMENT,43647,15204,28443,0.651659908,0.061169193,33000,25000,42000
LANGUAGE AND DRAMA EDUCATION,30471,3741,26730,0.877227528,0.050306435,33000,24000,40000
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,16601,4416,12185,0.733991928,0.10443571,33000,25000,40000
MISCELLANEOUS EDUCATION,10150,3654,6496,0.64,0.059211951,33000,30000,45000
INTERDISCIPLINARY SOCIAL SCIENCES,9916,2337,7579,0.76432029,0.092305816,33000,24000,40000
ECOLOGY,9154,3878,5276,0.576360061,0.054475193,33000,23000,42000
SECONDARY TEACHER EDUCATION,17125,6820,10305,0.601751825,0.05222898,32500,25000,38000
GENERAL MEDICAL AND HEALTH SERVICES,33599,7574,26025,0.774576624,0.082101621,32400,25000,45000
PHILOSOPHY AND RELIGIOUS STUDIES,54814,31967,22847,0.416809574,0.096051684,32200,23000,47100
ART AND MUSIC EDUCATION,34181,10732,23449,0.6860244,0.038637747,32100,25000,40000
ENGLISH LANGUAGE AND LITERATURE,194673,58227,136446,0.70089843,0.08772359,32000,23000,41000
ELEMENTARY EDUCATION,170862,13029,157833,0.923745479,0.046585715,32000,23400,38000
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,125074,62181,62893,0.502846315,0.051467273,32000,24000,43000
LIBERAL ARTS,71369,22339,49030,0.686992952,0.078267592,32000,25000,42000
FILM VIDEO AND PHOTOGRAPHIC ARTS,38761,22357,16404,0.423208896,0.10577224,32000,22000,42000
GENERAL SOCIAL SCIENCES,12920,5079,7841,0.606888545,0.103454715,32000,27000,50000
PLANT SCIENCE AND AGRONOMY,7416,4897,2519,0.339670982,0.045454545,32000,22900,40000
SCIENCE AND COMPUTER TEACHER EDUCATION,6483,2049,4434,0.683942619,0.047263682,32000,28000,39000
PSYCHOLOGY,393735,86648,307087,0.779933204,0.083810867,31500,24000,41000
MUSIC,60633,29909,30724,0.506720763,0.075959674,31000,22300,42000
PHYSICAL AND HEALTH EDUCATION TEACHING,28213,15670,12543,0.444582285,0.074667496,31000,24000,40000
ART HISTORY AND CRITICISM,21030,3240,17790,0.845934379,0.060298284,31000,23000,40000
FINE ARTS,74440,24786,49654,0.667033853,0.084186296,30500,21000,41000
FAMILY AND CONSUMER SCIENCES,58001,5166,52835,0.91093257,0.067128194,30000,22900,40000
SOCIAL WORK,53552,5137,48415,0.904074544,0.06882792,30000,25000,35000
ANIMAL SCIENCES,21573,5347,16226,0.752143884,0.050862499,30000,22000,40000
VISUAL AND PERFORMING ARTS,16250,4133,12117,0.745661538,0.102197419,30000,22000,40000
TEACHER EDUCATION: MULTIPLE LEVELS,14443,2734,11709,0.810704147,0.03654583,30000,24000,37000
MISCELLANEOUS PSYCHOLOGY,9628,1936,7692,0.798919817,0.05190783,30000,20800,40000
HUMAN SERVICES AND COMMUNITY ORGANIZATION,9374,885,8489,0.90558993,0.037819026,30000,24000,35000
HUMANITIES,6652,2013,4639,0.697384245,0.068584071,30000,20000,49000
THEOLOGY AND RELIGIOUS VOCATIONS,30207,18616,11591,0.383719006,0.062628297,29000,22000,38000
STUDIO ARTS,16977,4754,12223,0.719974083,0.089552239,29000,19200,38300
COSMETOLOGY SERVICES AND CULINARY ARTS,10510,4364,6146,0.584776403,0.055676856,29000,20000,36000
MISCELLANEOUS AGRICULTURE,1488,404,1084,0.728494624,0.059766764,29000,23000,42100
ANTHROPOLOGY AND ARCHEOLOGY,38844,11376,27468,0.707136237,0.102791571,28000,20000,38000
COMMUNICATION DISORDERS SCIENCES AND SERVICES,38279,1225,37054,0.967998119,0.047584,28000,20000,40000
EARLY CHILDHOOD EDUCATION,37589,1167,36422,0.968953683,0.040104981,28000,21000,35000
OTHER FOREIGN LANGUAGES,11204,3472,7732,0.690110675,0.107115726,27500,22900,38000
DRAMA AND THEATER ARTS,43249,14440,28809,0.666119448,0.07754113,27000,19200,35000
COMPOSITION AND RHETORIC,18953,7022,11931,0.629504564,0.081742207,27000,20000,35000
ZOOLOGY,8409,3050,5359,0.637293376,0.04632028,26000,20000,39000
EDUCATIONAL PSYCHOLOGY,2854,522,2332,0.817098809,0.065112187,25000,24000,34000
CLINICAL PSYCHOLOGY,2838,568,2270,0.799859056,0.149048198,25000,25000,40000
COUNSELING PSYCHOLOGY,4626,931,3695,0.798746217,0.053620646,23400,19200,26000
LIBRARY SCIENCE,1098,134,964,0.877959927,0.104945718,22000,20000,22000
